iso3,intervention,e.ATT,e.ATT.hi,e.ATT.lo,e.ATTinc,e.ATTinc.hi,e.ATTinc.lo,e.ATTprev,e.ATTprev.hi,e.ATTprev.lo,e.cases,e.cases.hi,e.cases.lo,e.deathinc,e.deathinc.hi,e.deathinc.lo,e.deathprev,e.deathprev.hi,e.deathprev.lo,e.deaths,e.deaths.hi,e.deaths.lo,e.hhc,e.hhc.hi,e.hhc.lo,e.incidence,e.incidence.hi,e.incidence.lo,e.IPT,e.IPT.hi,e.IPT.lo,e.LE,e.LE.hi,e.LE.lo,e.LTBI,e.LTBI.hi,e.LTBI.lo,e.prevalent,e.prevalent.hi,e.prevalent.lo,household.visits
FIN,No intervention,0.328704955051676,0.325437874515257,0,0.0764790351138422,0.0711013811168753,0,0.252225919937833,0.250192894024941,0,0.845529678366516,2.09908840058039,0,0.0457131873155404,0.0277374263380434,0,0.143668369701839,0.0998563967657908,0,0.189381557017379,0.134078652173836,0,0,0,0,0.20018114998525,0.373033320291999,0,0,0,0,1364.68051544001,3269.83800250037,0,3.07752473902639,6.23136523931963,0,0.645348528381265,1.57878532041839,0,0
FIN,Under 5 & HIV+ve,0.713316268480209,1.73713411159688,0,0.0679677400989433,0.0252573721566919,0,0.645348528381265,1.57878532041839,0,0.780492288112175,1.90675523391189,0,0.0208194061911116,0.0248737542278782,0,0.0106429731751821,0.0126488118604936,0,0.0314623793662937,0.0430879902406159,0,18.075992830778,41.6904110555214,0,0.135143759730909,0.184990928732209,0,6.69956373903217,0,0,1377.27189341688,3333.19962870105,0,3.07752473902639,6.23136523931963,0,0.645348528381265,1.57878532041839,0,219
FIN,Under 5 & HIV+ve & LTBI+,0.673997104940679,1.6524035244065,0,0.0286485765594134,0.0242237089892034,0,0.645348528381265,1.57878532041839,0,0.720941481750963,1.76871776753944,0,0.0174378823951898,0.00940184655468893,0,0.0106429731751821,0.0126488118604936,0,0.0280808555703719,0.0254870909785516,0,18.075992830778,41.6904110555214,0,0.0755929533696978,0.116838306399838,0,8.69124550168674,11.7650419311921,0,1377.52130517762,3333.19962870105,0,3.07752473902639,6.23136523931963,0,0.645348528381265,1.57878532041839,0,219
FJI,No intervention,5.2160914687722,8.70345248377111,0.0105644629659223,1.31136146434396,2.18745922500351,0.00645773230859858,3.90473000442824,5.86862565826212,0.00353540622404252,6.61305903656603,13.5370820229516,0.0133445875055636,0.147068513073861,0.0892551150943533,0.00207167060571633,0.408795964255171,0.253192428347573,0.00130344933270764,0.555864477329032,0.366827818861498,0.00374423888621809,0,0,0,1.67589273227709,3.32068563967747,0.00861973565552764,0,0,0,3619.40407327974,7788.6074966978,2.78221832542778,23.6419614753151,36.2191461267652,0.0213044400346404,4.93716630428894,8.93593263833792,0.00472233613302301,0
FJI,Under 5 & HIV+ve,5.97935779280995,10.9941033315325,0.0071835284940014,1.04219148852101,0.862511809842639,0.00226515284999868,4.93716630428894,8.93593263833792,0.00472233613302301,6.18889101540021,11.6738372780298,0.00799162094855617,0.0728602892775887,0.0746612876357084,0.000683683399056848,0.0722044109955674,0.0927529809319793,0.00064125123510278,0.145064700273156,0.221414968875351,0.00155748079765059,55.1684030718785,113.065560278431,0.045461202014549,1.25172471111127,1.35835436956219,0.00306321954818421,17.1656079339903,0.332381070678238,0.0319419503946951,3648.00979582255,7917.28944863293,2.92283763587016,23.6419614753151,36.2191461267652,0.0213044400346404,4.93716630428894,8.93593263833792,0.00472233613302301,259
FJI,Under 5 & HIV+ve & LTBI+,5.43960025633649,10.2948972492215,0.0071835284940014,0.50243395204755,0.732371951630928,0.00226515284999868,4.93716630428894,8.93593263833792,0.00472233613302301,5.58240781521258,10.7274875982631,0.00799162094855617,0.0579721573925109,0.0317220777467449,0.000683683399056848,0.0722044109955674,0.0927529809319793,0.00064125123510278,0.130176568388078,0.172098517055863,0.00155748079765059,55.1684030718785,113.065560278431,0.045461202014549,0.645241510923641,1.06999192716667,0.00306321954818421,34.6855297580761,95.847483556585,0.0414669342601253,3648.96549441232,7917.28944863293,2.92283763587016,23.6419614753151,36.2191461267652,0.0213044400346404,4.93716630428894,8.93593263833792,0.00472233613302301,259
FRA,No intervention,23.1138038144404,54.633360253103,0,5.81812472891338,10.8378108081209,0,17.295679085527,39.9365299600709,0,27.2475058473107,67.0884887844653,0,0.456344241683612,0.254017486879235,0,1.29100155590422,0.849657805449058,0,1.74734579758783,1.14449656629027,0,0,0,0,6.87764866173056,13.0235568640101,0,0,0,0,43800.5650912176,109254.295904266,0,96.2071803180191,203.950435291115,0,20.3698571855802,50.2309801095798,0,0
FRA,Under 5 & HIV+ve,24.2426733673898,60.1859255778059,0,3.87281618180963,5.40323415795704,0,20.3698571855802,50.2309801095798,0,24.8677937008264,61.4080782415772,0,0.219282442798096,0.171406996290069,0,0.343229140260085,0.414986455299288,0,0.562511583058181,0.758757117816139,0,564.099348403482,1343.86892797242,0,4.49793651524623,6.58983820179012,0,216.341688399584,0,0,43896.4480736116,109769.888115558,0,96.2071803180191,203.950435291115,0,20.3698571855802,50.2309801095798,0,4406
FRA,Under 5 & HIV+ve & LTBI+,22.5571203131449,55.6583096732846,0,2.18726312756479,3.33276587424872,0,20.3698571855802,50.2309801095798,0,22.9576150617582,56.5236902778303,0,0.171033817575717,0.0850567170562377,0,0.343229140260085,0.414986455299288,0,0.514262957835803,0.583654294796975,0,564.099348403482,1343.86892797242,0,2.58775787617804,4.03955290125873,0,276.950915462483,351.191685029987,0,43900.0790569531,109769.888115558,0,96.2071803180191,203.950435291115,0,20.3698571855802,50.2309801095798,0,4406
FSM,No intervention,1.7938314270242,0,0,0.470592378890292,0,0,1.3232390481339,0,0,3.46881043864496,6.97633932183137,0,0.128001629426329,0.0295465554014513,0,0.348571617511896,0.0822560984121281,0,0.476573246938225,0.114995415000625,0,0,0,0,0.907395416792517,1.83247341915721,0,0,0,0,1854.68441655809,3949.9351374592,0,12.2043936044032,18.6305860234893,0,2.56141502185245,4.52147036504885,0,0
