intervention,iso3,acat,e.ATT,e.ATT.hi,e.ATT.lo,e.ATTinc,e.ATTinc.hi,e.ATTinc.lo,e.ATTprev,e.ATTprev.hi,e.ATTprev.lo,e.cases,e.cases.hi,e.cases.lo,e.deathinc,e.deathinc.hi,e.deathinc.lo,e.deathprev,e.deathprev.hi,e.deathprev.lo,e.deaths,e.deaths.hi,e.deaths.lo,e.hhc,e.hhc.hi,e.hhc.lo,e.incidence,e.incidence.hi,e.incidence.lo,e.IPT,e.IPT.hi,e.IPT.lo,e.LE,e.LE.hi,e.LE.lo,e.LTBI,e.LTBI.hi,e.LTBI.lo,e.prevalent,e.prevalent.hi,e.prevalent.lo
No intervention,BEL,"[5,15)",2.93529981592093,6.59727548515801,0,0.708517060703898,1.32055156147337,0,2.22678275521703,4.80127504992235,0,3.39922498706184,7.96153882143039,0,0.0274296252339151,0.0292345352856391,0,0.0752244396538162,0.0774800081636897,0,0.102654064887731,0.101399443746757,0,0,0,0,0.822338015295862,1.54996880966486,0,0,0,0,6627.88713179743,18170.5776230221,0,15.9682449731332,38.7888885562586,0,2.57688697176597,5.81698528985075,0
No intervention,BEN,"[0,5)",32.3798329307718,68.2655467503633,0.435657409101884,9.31320991676905,17.5402565444047,0.259419344105367,23.0666230140027,45.139070459952,0.148512157860561,150.7542905114,356.819511713076,1.85825934871484,15.3973440121126,30.104402574389,0.824405577864181,37.729531880997,80.1502150439576,0.491406742338235,53.1268758931096,119.883264666028,1.35834987378872,0,0,0,43.4028132021743,87.559235969963,1.23098421410442,0,0,0,63491.7087226437,176813.152869912,285.520312683208,341.218536039645,921.174242802634,1.87788295744299,107.351477309225,235.604195537178,0.668935931482347
No intervention,BEN,"[5,15)",98.6237000115585,175.630787022396,0.867985799758624,26.1584732382091,49.3974680751464,0.519429294214228,72.4652267733494,107.536112099999,0.280470627990143,224.040726115466,443.414297037498,1.98455479262141,5.58440233553426,9.99674198430586,0.504176920918935,14.6734062031707,22.2778770914927,0.29015740394516,20.257808538705,37.2441803567327,0.898474592573711,0,0,0,59.5176169345069,122.777829172932,1.25632973612978,0,0,0,115085.470793949,321976.376449495,351.355381176537,953.155799165217,2548.59916302612,3.35267048409338,164.523109180959,266.515654228434,0.662940859078275
No intervention,BES,"[0,5)",0.010914345331989,0,0,0.00297588293930825,0,0,0.00793846239268074,0,0,0.0208061566385406,0.046135458782394,0,0.00121989631950705,0.000288216887875495,0,0.00334616720412293,0.000794726815480539,0,0.00456606352362998,0.00110443101402534,0,0,0,0,0.00561831038803277,0.010928620573979,0,0,0,0,10.9831660440639,27.1117985873317,0,0.0484202687041676,0.11849684380615,0,0.0151878462505078,0.0314913175777702,0
No intervention,BES,"[5,15)",0.0112891422189119,0,0,0.00272214140666879,0,0,0.00856700081224315,0,0,0.022253345275457,0.0418453567273825,0,0.00044366422027435,0.000116966774928788,0,0.00130736881997122,0.000340207291037275,0,0.00175103304024557,0.000481565162352159,0,0,0,0,0.0055185116858543,0.0106508038697147,0,0,0,0,13.5057204600666,33.0150879764294,0,0.0964302533853098,0.228716086687533,0,0.0167348335896027,0.0259575474479254,0
No intervention,BFA,"[0,5)",35.9009332334602,77.6224675664998,0.455809289132219,10.1645541057431,18.846692815822,0.259511706401698,25.7363791277172,51.9274271233246,0.157566854258862,219.993653005757,519.804322766467,2.7093538254237,23.3469387688219,47.0575194545913,1.06445835558537,58.682991372788,123.316786477146,0.6992992539505,82.0299301416099,187.802677227562,1.91641896220734,0,0,0,62.1981062673684,127.698369184294,1.64526519193057,0,0,0,92146.3838443897,258515.036723543,409.827804677814,500.955145567692,1364.04827464687,2.75011923238425,157.795546738389,343.959205184627,0.947062347695006
No intervention,BFA,"[5,15)",141.737218706471,259.380861634714,1.24094334425053,36.0883298685748,68.9730393493265,0.700367176151247,105.648888837897,158.881004565065,0.404616684507865,323.533619296199,644.140065964125,2.84857020407445,7.706318119206,13.970812953447,0.617227526373052,21.673301023305,31.8009868449575,0.384720923153536,29.379619142511,52.6942711500243,1.13163597673162,0,0,0,82.5992571686002,166.543999767917,1.65429886737907,0,0,0,171492.164802273,484006.334574281,521.513778962397,1437.83063067091,3845.14194072358,5.05089037766599,240.934362127599,384.267554997696,0.94660008399008
No intervention,BGD,"[0,5)",294.130369578662,643.816655088488,0.880672495089662,78.9802264203067,154.891847517442,0.480971569617417,215.150143158355,438.848113207437,0.328757657079548,3895.96385216753,9200.9240280333,11.6814167610184,424.896138029868,877.438968959573,4.47468887648063,1158.48595645865,2449.30033809754,3.39089588348806,1583.38209448852,3696.36750972401,8.57663279255269,0,0,0,1044.38508289553,2211.22276886131,6.54301866092512,0,0,0,1989562.80762533,5609142.56499897,2204.60431588089,9230.65096085382,25389.7142555446,12.6733408116182,2851.57876927199,6214.557839899,4.37828049961029
No intervention,BGD,"[5,15)",4769.60549477328,9050.67117467421,9.19538080078414,1122.11991880071,2163.0951139623,4.97624468588314,3647.48557597258,5598.19382106116,3.08903920120756,6885.3027184862,13452.9416033717,13.6994873393082,84.0677062972178,134.119146100293,1.64705261932232,278.474482601543,339.706080701162,1.15714589392285,362.542188898761,538.442499547894,3.34310450902735,0,0,0,1606.36446617173,3284.28750566869,7.36949770769369,0,0,0,4077661.75884961,11579093.2401595,3260.18538624466,29546.9523827292,79632.0989366457,25.9919695890808,5278.93825231447,8402.69218091685,4.58997399642432
No intervention,BGR,"[0,5)",4.81366561826636,10.70399771197,0,1.21805551085899,2.31097093890491,0,3.59561010740737,7.3881912179957,0,10.1070974603907,23.8213970128832,0,0.611691659243715,1.18321730938708,0,1.82097480618933,3.79944258141846,0,2.43266646543305,5.42620218043992,0,0,0,0,2.55059330884937,5.17254902201613,0,0,0,0,5397.0243619577,15019.1820256385,0,23.9975464112909,65.060279121015,0,7.55650415154133,16.6879940619687,0
No intervention,BGR,"[5,15)",7.92297985213454,0,0,1.80136103500938,0,0,6.12161881712516,0,0,15.471341975353,29.7975507197569,0,0.292233175640872,0.0786455204741236,0,0.91423792203111,0.248064278494784,0,1.20647109767198,0.335982413097289,0,0,0,0,3.62910817230748,7.31753210249585,0,0,0,0,9881.10945886069,27333.9267363606,0,71.7312582215064,191.001822251287,0,11.8422338030455,18.379490360279,0
No intervention,BHR,"[0,5)",0.289754102332971,0.568548472845986,0.0303667020945744,0.0955139359541353,0.139512494841333,0.0147559341654259,0.194240166378835,0.414747684754511,0.0162035874254243,0.875285139343089,1.86587100768275,0.089624655579784,0.117589685028612,0.179985780495445,0.0183334793658885,0.192523863798339,0.39881875186021,0.0201856065839946,0.310113548826952,0.54118754089699,0.0376000155853899,0,0,0,0.289248366302581,0.42073746788507,0.0447617255028882,0,0,0,927.419585857957,2301.58467776599,72.0724770578501,1.91563549068477,4.09922624612149,0.160466854014691,0.586036773040508,1.37857242881892,0.0473177734148331
No intervention,BHR,"[5,15)",0.425149152407926,0.85528543238561,0.0298657314313295,0.129683484448875,0.193266201828504,0.0138727144755986,0.295465667959051,0.613081007741367,0.0156216866879982,0.85120111623666,1.79569196280508,0.0573220359031284,0.0432383518162603,0.0642731309926765,0.00777219131403663,0.058282205407437,0.0943721539237899,0.00900280758972406,0.101520557223697,0.156084273266552,0.0164564318113838,0,0,0,0.25928881524491,0.399670647884982,0.02794639622066,0,0,0,1428.58295311384,3707.09316354219,70.6856977588967,3.69418610963281,8.64666032056472,0.189822494685888,0.59191230099175,1.28527187611392,0.0313249184471294
No intervention,BHS,"[0,5)",0.395050460681523,0.946759537064477,0.0307992793284545,0.113161440334089,0.184058886620932,0.0144378876680685,0.281889020347434,0.695800892823522,0.0126916018534341,0.405398695237224,0.964495487134481,0.0317547564378386,0.00645082472112064,0.00787135466564102,0.00210426476701484,0.0116722481429747,0.0120609302943573,0.00233172666872601,0.0181230728640954,0.0196840851139756,0.00499338482593798,0,0,0,0.11615702780499,0.192591303472059,0.0150595550334052,0,0,0,465.171965766998,1255.29724814994,20.0648806529227,0.96166330305411,2.20093815414777,0.0435817764688844,0.289241667432234,0.719123132031012,0.0131194287389042
No intervention,BHS,"[5,15)",0.505672010259156,1.1906583699732,0.0262291979831621,0.13180886360959,0.235598604580807,0.012485682867654,0.373863146649566,0.843201982632294,0.0104229655741881,0.51784131376214,1.22581466009208,0.0271220369605448,0.00287440442600637,0.00361354949490441,0.000929356784429172,0.00557047228293817,0.0065777299094833,0.000861387684148187,0.00844487670894453,0.00997286677887966,0.0020061132042792,0,0,0,0.134938075369212,0.243579805744011,0.0128399143591619,0,0,0,917.794552614624,2503.62328853226,25.5673878709553,2.3236787990892,5.70904389486189,0.0669658000741383,0.382903238392928,0.879640841545658,0.0107039412124052
No intervention,BIH,"[0,5)",0.596671446046114,1.15649370461656,0,0.159753173887207,0.255367532938543,0,0.436918272158907,0.824357033650179,0,5.86429882473219,12.384350875322,0,0.654238281752852,1.04435702851172,0,1.73746993967298,3.38396709158485,0,2.39170822142583,4.72650323904614,0,0,0,0,1.57750106038248,2.57926982826995,0,0,0,0,3077.59726786027,7850.00565212796,0,13.5763231541591,33.5678640621791,0,4.2867977643497,8.72490936610017,0
No intervention,BIH,"[5,15)",2.25066888098042,3.87727317363475,0,0.552727918469297,0.921550543411015,0,1.69794096251112,2.58194104674885,0,9.6302028607404,17.5610491002817,0,0.358857176489845,0.580852795585404,0,0.96899874264042,1.38411236792397,0,1.32785591913026,2.05106582770114,0,0,0,0,2.35708598179616,4.27144300152719,0,0,0,0,6119.88129534795,16136.5567594351,0,43.2270232152411,109.243592991201,0,7.27311687894424,11.3485958933817,0
No intervention,BLR,"[0,5)",0.42089398675348,0.898562835192721,0.00423419488869972,0.103444395006393,0.191928663200089,0.00224341071947803,0.317449591747087,0.64739463092994,0.00155451240091792,26.6804630916014,63.0211589199056,0.267656337719252,2.85688312719861,5.53679402855482,0.107373484829956,8.70889608765522,19.2914109721459,0.0828071389376833,11.5657792148538,26.6299350316352,0.212874544658992,0,0,0,6.55491056069133,12.8291453565332,0.149044370142252,0,0,0,13430.9825760663,36106.8749048269,50.0386070439749,63.2817685350748,167.977485918062,0.293258253740234,20.12555253091,44.1873576383919,0.0996835364951777
No intervention,BLR,"[5,15)",2.09259530853015,3.84966676278764,0.0139487485719707,0.460954012798104,0.864027274020441,0.00758619519895907,1.63164129573204,2.55055415774346,0.00499509475045454,39.7391304909854,75.502682599589,0.267610738619055,1.30219608171999,2.37651136762457,0.0869939616185075,4.50593361317382,7.15500410941274,0.0621581475497772,5.80812969489381,10.7303450533242,0.168051248068859,0,0,0,8.69121268791631,17.1722683588663,0.149625720499172,0,0,0,23433.5864838872,62576.2143085062,57.8521342852641,177.715661941192,460.727202893177,0.531231185811268,31.0479178030691,51.31466657694,0.0970701595313137
No intervention,BLZ,"[0,5)",0.502909744625851,1.05749804611397,0,0.137106788588004,0.251834036718188,0,0.365802956037847,0.724810921076915,0,1.66974292918375,3.73971588365801,0,0.145537361860289,0.27025320388119,0,0.382017968576824,0.78254067404364,0,0.527555330437113,1.14782065863893,0,0,0,0,0.456243822637793,0.888943664186289,0,0,0,0,809.620019351123,2204.83600777706,0,3.84794180174162,10.1979962495883,0,1.21349910654596,2.55876827366201,0
No intervention,BLZ,"[5,15)",0.450411909823504,0.813305570221182,0,0.114190544494661,0.214133086549,0,0.336221365328844,0.510565470976308,0,3.01162309248922,5.82003039549206,0,0.109566684102763,0.187696135987866,0,0.304767873988655,0.454933674515818,0,0.414334558091418,0.738471004718702,0,0,0,0,0.767303345920879,1.51955444742045,0,0,0,0,1712.62713069797,4750.65878416999,0,13.2177638977837,35.1291836953229,0,2.24431974656834,3.58383694050679,0
No intervention,BMU,"[0,5)",0.00693976041265819,0,0,0.00198339975237222,0,0,0.00495636066028597,0,0,0.0136628356372777,0.0336193072546732,0,0.000878731605930558,0.000191092148066085,0,0.00222571911660897,0.000536336604857321,0,0.00310445072253953,0.000752466163297938,0,0,0,0,0.00388562167700531,0.00701527250501854,0,0,0,0,15.4386833808151,40.2210538975766,0,0.0327439808733101,0.0744267229647689,0,0.00977721396027239,0.0244311050557069,0
